soggetto	Substantiv
soggiorno	Substantiv
sognare	Verb
sogno	Substantiv
soldo	Substantiv
sole	Substantiv
solido	Adjektiv
solito	Adjektiv
solo	Adjektiv
solo	Adverb
soltanto	Adverb
sonno	Substantiv
sopra	Präposition
sopra	Adverb
soprattutto	Adverb
sorella	Substantiv
sorpresa	Substantiv
sorridere	Verb
sottile	Adjektiv
sotto	Präposition
sotto	Adverb
spaghetto	Substantiv
spaventare	Verb
spaventoso	Adjektiv
spazzolino	Substantiv
specchio	Substantiv
speciale	Adjektiv
specialmente	Adverb
spedire	Verb
spegnere	Verb
spendere	Verb
sperare	Verb
spesa	Substantiv
spesso	Adverb
spesso	Adjektiv
spettabile	Adjektiv
spettacolo	Substantiv
spiaggia	Substantiv
spicchio	Substantiv
spiegare	Verb
spingere	Verb
spogliarsi	Verb
sporcare	Verb
sporco	Adjektiv
sport	Substantiv
sportivo	Adjektiv
sposare	Verb
sposarsi	Verb
spostare	Verb
spuntino	Substantiv
squadra	Substantiv
stadio	Substantiv
stage	Substantiv
stamattina	Adverb
stampare	Verb
stanco	Adjektiv
stanotte	Adverb
stanza	Substantiv
stare	Verb
stasera	Adverb
stazione	Substantiv
stella	Substantiv
stendere	Verb
stendersi	Verb
stesso	Adjektiv
stirare	Verb
stiro	Substantiv
stivale	Substantiv
stomaco	Substantiv
stop	Substantiv
storia	Substantiv
strada	Substantiv
straniero	Adjektiv
strano	Adjektiv
stress	Substantiv
stressare	Verb
stretto	Adjektiv
studente	Substantiv
studentessa	Substantiv
studiare	Verb
studio	Substantiv
su	Präposition
su	Adverb
subito	Adverb
succedere	Verb
successo	Substantiv
sud	Substantiv
suo	Adjektiv
suo	Pronomen
suocera	Substantiv
suocero	Substantiv
suonare	Verb
superare	Verb
supermercato	Substantiv
svegliarsi	Verb
svolgere	Verb
tabaccaio	Substantiv
tagliare	Verb
talk-show	Substantiv
tanto	Pronomen
tanto	Adjektiv
tappeto	Substantiv
tardi	Adverb
tasca	Substantiv
tavolo	Substantiv
taxi	Substantiv
tazza	Substantiv
te	Pronomen
tè	Substantiv
teatro	Substantiv
tecnico	Substantiv
telefilm	Substantiv
telefonare	Verb
telefonata	Substantiv
telefono	Substantiv
telegiornale	Substantiv
televisione	Substantiv
temperatura	Substantiv
tempo	Substantiv
temporale	Substantiv
tenda	Substantiv
tenere	Verb
tenero	Adjektiv
tennis	Substantiv
terminare	Verb
termometro	Substantiv
termosifone	Substantiv
terra	Substantiv
terrazza	Substantiv
terribile	Adjektiv
testa	Substantiv
tetto	Substantiv
ti	Pronomen
tiepido	Adjektiv
tigre	Substantiv
timido	Adjektiv
tipo	Substantiv
tirare	Verb
titolo	Substantiv
toccare	Verb
togliere	Verb
tombola	Substantiv
tornare	Verb
torre	Substantiv
torta	Substantiv
tortellino	Substantiv
tosse	Substantiv
tostapane	Substantiv
totale	Substantiv
tovaglia	Substantiv
tovagliolo	Substantiv
tra	Präposition
tradurre	Verb
traffico	Substantiv
tragedia	Substantiv
tramonto	Substantiv
tranquillo	Adjektiv
trascorrere	Verb
trasferirsi	Verb
traslocare	Verb
trasloco	Substantiv
trasmissione	Substantiv
trasparente	Adjektiv
trasportare	Verb
treno	Substantiv
triste	Adjektiv
troppo	Adjektiv
troppo	Adverb
trovare	Verb
trovarsi	Verb
tu	Pronomen
tuo	Adjektiv
tuo	Pronomen
tuono	Substantiv
turista	Substantiv
tuttavia	Konjunktion
tutto	Adjektiv
tv	Substantiv
ubriacarsi	Verb
ubriaco	Adjektiv
uccello	Substantiv
ufficio	Substantiv
uguale	Adjektiv
ulteriore	Adjektiv
ultimo	Adjektiv
umido	Adjektiv
umore	Substantiv
un	Artikel
una	Artikel
uno	Artikel
unico	Adjektiv
università	Substantiv
uomo	Substantiv
uovo	Substantiv
usare	Verb
uscire	Verb
uscita	Substantiv
utile	Adjektiv
utilizzare	Verb
vacanza	Substantiv
vaglia	Substantiv
vagone	Substantiv
valigia	Substantiv
variabile	Adjektiv
vasca	Substantiv
vaso	Substantiv
vecchio	Adjektiv
vedere	Verb
vedersi	Verb
vedovo	Adjektiv
veloce	Adjektiv
velocemente	Adverb
vendere	Verb
venerdì	Substantiv
venire	Verb
vento	Substantiv
veramente	Adverb
verbo	Substantiv
verde	Adjektiv
verdura	Substantiv
vero	Adjektiv
versare	Verb
verso	Präposition
vestirsi	Verb
vestito	Substantiv
vetrina	Substantiv
vetro	Substantiv
vi	Pronomen
via	Substantiv
via	Adverb
viaggiare	Verb
viaggio	Substantiv
vicino	Adverb
vietare	Verb
vigile	Substantiv
vigilessa	Substantiv
villa	Substantiv
villaggio	Substantiv
vincere	Verb
vino	Substantiv
viola	Adjektiv
virgola	Substantiv
visitare	Verb
visto	Substantiv
vita	Substantiv
vivere	Verb
vivo	Adjektiv
voce	Substantiv
voglia	Substantiv
voi	Pronomen
volare	Verb
volentieri	Adverb
volere	Verb
volta	Substantiv
vostro	Adjektiv
vostro	Pronomen
vuoto	Adjektiv
water	Substantiv
zaino	Substantiv
zia	Substantiv
zio	Substantiv
zucchero	Substantiv
